,Buttonville A,Hamilton A,Kingsville Moe,North Bay A,Orillia,Oshawa WPCP,Ottawa CDA,Sault St Marie A,Sudbury A,Tillonburg WWTP,Trent U,Wiarton A,Windsor A,Wroxeter
1987-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,1.6,4.440892098500626e-16
1987-05-08,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-09,0.0,0.0,0.0,2.5,0.0,0.0,0.5999999999999999,1.2,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-10,0.5,0.20000000000000018,0.0,0.0,5.6,1.2000000000000002,3.8,5.4,-4.440892098500626e-16,0.3999999999999999,1.1,0.0,0.0,4.440892098500626e-16
1987-05-11,0.3999999999999999,0.0,3.2,5.0,5.0,0.20000000000000018,11.0,0.0,2.6,1.0,3.0,5.799999999999999,11.4,4.4
1987-05-12,0.2999999999999998,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.20000000000000018,0.0,0.3999999999999999,4.440892098500626e-16
1987-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-14,8.6,11.400000000000002,5.0,11.2,12.5,5.8,16.0,9.399999999999999,11.6,15.6,15.2,4.4,16.8,19.2
1987-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16
1987-05-16,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,1.6,3.4,1.4,0.0,0.0,0.0,0.0,4.440892098500626e-16
